"Location","Total","Occupied","Vacant"
"Frisco City town, Alabama","","",""
"    Frisco City town, Alabama","579","520","59"
"Fruitdale CDP, Alabama","","",""
"    Fruitdale CDP, Alabama","83","75","8"
"Fruithurst town, Alabama","","",""
"    Fruithurst town, Alabama","109","94","15"
"Fulton town, Alabama","","",""
"    Fulton town, Alabama","107","87","20"
"Fultondale city, Alabama","","",""
"    Fultondale city, Alabama","4,380","4,150","230"
"Fyffe town, Alabama","","",""
"    Fyffe town, Alabama","461","407","54"
"Gadsden city, Alabama","","",""
"    Gadsden city, Alabama","16,730","14,141","2,589"
"Gainesville town, Alabama","","",""
"    Gainesville town, Alabama","91","63","28"
"Gallant CDP, Alabama","","",""
"    Gallant CDP, Alabama","367","332","35"
"Gantt town, Alabama","","",""
"    Gantt town, Alabama","107","87","20"
"Garden City town, Alabama","","",""
"    Garden City town, Alabama","245","220","25"
"Gardendale city, Alabama","","",""
"    Gardendale city, Alabama","6,854","6,508","346"
"Gaylesville town, Alabama","","",""
"    Gaylesville town, Alabama","87","80","7"
"Geiger town, Alabama","","",""
"    Geiger town, Alabama","67","56","11"
"Geneva city, Alabama","","",""
"    Geneva city, Alabama","1,971","1,737","234"
"Georgiana town, Alabama","","",""
"    Georgiana town, Alabama","768","617","151"
"Geraldine town, Alabama","","",""
"    Geraldine town, Alabama","415","370","45"
"Gilbertown town, Alabama","","",""
"    Gilbertown town, Alabama","359","292","67"
"Glen Allen town, Alabama","","",""
"    Glen Allen town, Alabama","183","161","22"
"Glencoe city, Alabama","","",""
"    Glencoe city, Alabama","2,294","2,099","195"
"Glenwood town, Alabama","","",""
"    Glenwood town, Alabama","91","67","24"
"Goldville town, Alabama","","",""
"    Goldville town, Alabama","25","24","1"
"Good Hope city, Alabama","","",""
"    Good Hope city, Alabama","1,007","925","82"
"Goodwater town, Alabama","","",""
"    Goodwater town, Alabama","677","555","122"
"Gordo town, Alabama","","",""
"    Gordo town, Alabama","776","707","69"
"Gordon town, Alabama","","",""
