"Location","Total","Occupied","Vacant"
"Monterey Park CDP, New Mexico","","",""
"    Monterey Park CDP, New Mexico","388","362","26"
"Monument CDP, New Mexico","","",""
"    Monument CDP, New Mexico","87","87","0"
"Moquino CDP, New Mexico","","",""
"    Moquino CDP, New Mexico","18","7","11"
"Mora CDP, New Mexico","","",""
"    Mora CDP, New Mexico","322","248","74"
"Moriarty city, New Mexico","","",""
"    Moriarty city, New Mexico","890","789","101"
"Morningside CDP, New Mexico","","",""
"    Morningside CDP, New Mexico","118","112","6"
"Mosquero village, New Mexico","","",""
"    Mosquero village, New Mexico","113","55","58"
"Mountainair town, New Mexico","","",""
"    Mountainair town, New Mexico","447","384","63"
"Mountain View CDP (Cibola County), New Mexico","","",""
"    Mountain View CDP (Cibola County), New Mexico","38","29","9"
"Mountain View CDP (Luna County), New Mexico","","",""
"    Mountain View CDP (Luna County), New Mexico","63","58","5"
"Mount Taylor CDP, New Mexico","","",""
"    Mount Taylor CDP, New Mexico","191","158","33"
"Nadine CDP, New Mexico","","",""
"    Nadine CDP, New Mexico","202","172","30"
"Nageezi CDP, New Mexico","","",""
"    Nageezi CDP, New Mexico","113","96","17"
"Nakaibito CDP, New Mexico","","",""
"    Nakaibito CDP, New Mexico","115","101","14"
"Nambe CDP, New Mexico","","",""
"    Nambe CDP, New Mexico","949","847","102"
"Napi Headquarters CDP, New Mexico","","",""
"    Napi Headquarters CDP, New Mexico","213","204","9"
"Nara Visa CDP, New Mexico","","",""
"    Nara Visa CDP, New Mexico","36","28","8"
"Naschitti CDP, New Mexico","","",""
"    Naschitti CDP, New Mexico","93","77","16"
"Navajo CDP, New Mexico","","",""
"    Navajo CDP, New Mexico","500","476","24"
"Navajo Dam CDP, New Mexico","","",""
"    Navajo Dam CDP, New Mexico","252","140","112"
"Nenahnezad CDP, New Mexico","","",""
"    Nenahnezad CDP, New Mexico","197","178","19"
"Newcomb CDP, New Mexico","","",""
"    Newcomb CDP, New Mexico","195","169","26"
"Newkirk CDP, New Mexico","","",""
"    Newkirk CDP, New Mexico","8","6","2"
"Nogal CDP, New Mexico","","",""
"    Nogal CDP, New Mexico","82","55","27"
"North Acomita Village CDP, New Mexico","","",""
"    North Acomita Village CDP, New Mexico","104","87","17"
"North Hobbs CDP, New Mexico","","",""
"    North Hobbs CDP, New Mexico","2,429","2,258","171"
"North Hurley CDP, New Mexico","","",""
"    North Hurley CDP, New Mexico","131","100","31"
"North Light Plant CDP, New Mexico","","",""
"    North Light Plant CDP, New Mexico","223","188","35"
"North San Ysidro CDP, New Mexico","","",""
"    North San Ysidro CDP, New Mexico","85","59","26"
"North Valley CDP, New Mexico","","",""
"    North Valley CDP, New Mexico","4,850","4,549","301"
"Oasis CDP, New Mexico","","",""
"    Oasis CDP, New Mexico","99","79","20"
"Ohkay Owingeh CDP, New Mexico","","",""
"    Ohkay Owingeh CDP, New Mexico","479","463","16"
"Ojo Amarillo CDP, New Mexico","","",""
"    Ojo Amarillo CDP, New Mexico","195","190","5"
"Ojo Caliente CDP, New Mexico","","",""
"    Ojo Caliente CDP, New Mexico","87","74","13"
"Ojo Encino CDP, New Mexico","","",""
"    Ojo Encino CDP, New Mexico","70","67","3"
"Ojo Sarco CDP, New Mexico","","",""
"    Ojo Sarco CDP, New Mexico","140","99","41"
"Old Town CDP, New Mexico","","",""
"    Old Town CDP, New Mexico","15","11","4"
"Organ CDP, New Mexico","","",""
"    Organ CDP, New Mexico","154","111","43"
"Orogrande CDP, New Mexico","","",""
"    Orogrande CDP, New Mexico","32","20","12"
"Paa-Ko CDP, New Mexico","","",""
"    Paa-Ko CDP, New Mexico","377","356","21"
"Paguate CDP, New Mexico","","",""
"    Paguate CDP, New Mexico","206","162","44"
"Pajarito Mesa CDP, New Mexico","","",""
"    Pajarito Mesa CDP, New Mexico","87","73","14"
"Paradise Hills CDP, New Mexico","","",""
"    Paradise Hills CDP, New Mexico","1,772","1,712","60"
"Paraje CDP, New Mexico","","",""
"    Paraje CDP, New Mexico","226","208","18"
"Pastura CDP, New Mexico","","",""
"    Pastura CDP, New Mexico","19","11","8"
"Peak Place CDP, New Mexico","","",""
"    Peak Place CDP, New Mexico","183","181","2"
"Pecan Park CDP, New Mexico","","",""
"    Pecan Park CDP, New Mexico","49","44","5"
"Pecos village, New Mexico","","",""
"    Pecos village, New Mexico","625","549","76"
"Peña Blanca CDP, New Mexico","","",""
"    Peña Blanca CDP, New Mexico","255","238","17"
"Peñasco CDP, New Mexico","","",""
"    Peñasco CDP, New Mexico","268","214","54"
"Peralta town, New Mexico","","",""
"    Peralta town, New Mexico","1,353","1,278","75"
"Picacho Hills CDP, New Mexico","","",""
"    Picacho Hills CDP, New Mexico","1,029","921","108"
"Picuris Pueblo CDP, New Mexico","","",""
"    Picuris Pueblo CDP, New Mexico","41","31","10"
"Pie Town CDP, New Mexico","","",""
"    Pie Town CDP, New Mexico","146","95","51"
"Pinedale CDP, New Mexico","","",""
"    Pinedale CDP, New Mexico","161","151","10"
"Pinehaven CDP, New Mexico","","",""
"    Pinehaven CDP, New Mexico","85","75","10"
"Pinehill CDP, New Mexico","","",""
"    Pinehill CDP, New Mexico","183","167","16"
"Pinon CDP, New Mexico","","",""
"    Pinon CDP, New Mexico","21","12","9"
"Pinos Altos CDP, New Mexico","","",""
"    Pinos Altos CDP, New Mexico","148","132","16"
"Placitas CDP (Doña Ana County), New Mexico","","",""
"    Placitas CDP (Doña Ana County), New Mexico","188","168","20"
"Placitas CDP (Sandoval County), New Mexico","","",""
"    Placitas CDP (Sandoval County), New Mexico","2,646","2,455","191"
"Playas CDP, New Mexico","","",""
"    Playas CDP, New Mexico","21","21","0"
"Pleasanton CDP, New Mexico","","",""
"    Pleasanton CDP, New Mexico","69","58","11"
"Pojoaque CDP, New Mexico","","",""
"    Pojoaque CDP, New Mexico","925","854","71"
"Polvadera CDP, New Mexico","","",""
"    Polvadera CDP, New Mexico","103","64","39"
"Ponderosa CDP, New Mexico","","",""
"    Ponderosa CDP, New Mexico","183","146","37"
"Ponderosa Pine CDP, New Mexico","","",""
"    Ponderosa Pine CDP, New Mexico","576","486","90"
"Portales city, New Mexico","","",""
"    Portales city, New Mexico","5,375","4,539","836"
"Prewitt CDP, New Mexico","","",""
"    Prewitt CDP, New Mexico","250","248","2"
"Pueblito CDP, New Mexico","","",""
"    Pueblito CDP, New Mexico","37","37","0"
"Pueblitos CDP, New Mexico","","",""
"    Pueblitos CDP, New Mexico","248","216","32"
"undefined","","",""
"    Pueblo CDP, New Mexico","47","37","10"
"Pueblo of Sandia Village CDP, New Mexico","","",""
"    Pueblo of Sandia Village CDP, New Mexico","177","159","18"
"Pueblo Pintado CDP, New Mexico","","",""
"    Pueblo Pintado CDP, New Mexico","139","108","31"
"Puerto de Luna CDP, New Mexico","","",""
"    Puerto de Luna CDP, New Mexico","83","58","25"
"Pulpotio Bareas CDP, New Mexico","","",""
"    Pulpotio Bareas CDP, New Mexico","61","44","17"
"Punta de Agua CDP, New Mexico","","",""
"    Punta de Agua CDP, New Mexico","32","24","8"
"Purty Rock CDP, New Mexico","","",""
"    Purty Rock CDP, New Mexico","55","48","7"
"Quemado CDP, New Mexico","","",""
"    Quemado CDP, New Mexico","96","70","26"
"Questa village, New Mexico","","",""
"    Questa village, New Mexico","940","737","203"
"Radium Springs CDP, New Mexico","","",""
"    Radium Springs CDP, New Mexico","643","578","65"
"Ramah CDP, New Mexico","","",""
"    Ramah CDP, New Mexico","197","162","35"
"Rancho Grande CDP, New Mexico","","",""
"    Rancho Grande CDP, New Mexico","107","57","50"
"Ranchos de Taos CDP, New Mexico","","",""
"    Ranchos de Taos CDP, New Mexico","1,277","1,140","137"
"Raton city, New Mexico","","",""
"    Raton city, New Mexico","3,286","2,669","617"
"Red River town, New Mexico","","",""
"    Red River town, New Mexico","931","280","651"
"Redrock CDP, New Mexico","","",""
"    Redrock CDP, New Mexico","4","4","0"
"Red Rock Ranch CDP, New Mexico","","",""
"    Red Rock Ranch CDP, New Mexico","14","14","0"
"Regina CDP, New Mexico","","",""
"    Regina CDP, New Mexico","110","42","68"
"Reserve village, New Mexico","","",""
"    Reserve village, New Mexico","212","142","70"
"Ribera CDP, New Mexico","","",""
"    Ribera CDP, New Mexico","144","122","22"
"Rincon CDP, New Mexico","","",""
"    Rincon CDP, New Mexico","100","87","13"
"Rio Chiquito CDP, New Mexico","","",""
"    Rio Chiquito CDP, New Mexico","96","83","13"
"Rio Communities city, New Mexico","","",""
"    Rio Communities city, New Mexico","2,160","2,017","143"
"Rio en Medio CDP, New Mexico","","",""
"    Rio en Medio CDP, New Mexico","77","63","14"
"Rio Lucio CDP, New Mexico","","",""
"    Rio Lucio CDP, New Mexico","169","136","33"
"Rio Rancho city, New Mexico","","",""
"    Rio Rancho city, New Mexico","39,703","38,178","1,525"
"Rio Rancho Estates CDP, New Mexico","","",""
"    Rio Rancho Estates CDP, New Mexico","572","538","34"
"Rivers CDP, New Mexico","","",""
"    Rivers CDP, New Mexico","25","12","13"
"Rock Springs CDP, New Mexico","","",""
"    Rock Springs CDP, New Mexico","262","232","30"
"Rodeo CDP, New Mexico","","",""
"    Rodeo CDP, New Mexico","69","65","4"
"Rodey CDP, New Mexico","","",""
"    Rodey CDP, New Mexico","106","86","20"
"Rosedale CDP, New Mexico","","",""
"    Rosedale CDP, New Mexico","190","167","23"
"Roswell city, New Mexico","","",""
"    Roswell city, New Mexico","20,220","17,929","2,291"
"Rowe CDP, New Mexico","","",""
"    Rowe CDP, New Mexico","150","134","16"
"Roy village, New Mexico","","",""
"    Roy village, New Mexico","191","108","83"
"Ruidoso village, New Mexico","","",""
"    Ruidoso village, New Mexico","8,338","3,633","4,705"
"Ruidoso Downs city, New Mexico","","",""
"    Ruidoso Downs city, New Mexico","1,463","1,030","433"
"Sacramento CDP, New Mexico","","",""
"    Sacramento CDP, New Mexico","55","22","33"
"Sagar CDP, New Mexico","","",""
"    Sagar CDP, New Mexico","79","70","9"
"Salem CDP, New Mexico","","",""
"    Salem CDP, New Mexico","243","223","20"
"San Acacia CDP, New Mexico","","",""
"    San Acacia CDP, New Mexico","21","19","2"
"San Antonio CDP, New Mexico","","",""
"    San Antonio CDP, New Mexico","75","60","15"
"San Antonito CDP (Bernalillo County), New Mexico","","",""
"    San Antonito CDP (Bernalillo County), New Mexico","462","421","41"
"San Antonito CDP (Socorro County), New Mexico","","",""
"    San Antonito CDP (Socorro County), New Mexico","36","35","1"
"San Cristobal CDP, New Mexico","","",""
"    San Cristobal CDP, New Mexico","137","108","29"
"Sandia Heights CDP, New Mexico","","",""
"    Sandia Heights CDP, New Mexico","1,600","1,521","79"
"Sandia Knolls CDP, New Mexico","","",""
"    Sandia Knolls CDP, New Mexico","594","538","56"
"Sandia Park CDP, New Mexico","","",""
"    Sandia Park CDP, New Mexico","138","118","20"
"San Felipe Pueblo CDP, New Mexico","","",""
"    San Felipe Pueblo CDP, New Mexico","561","546","15"
"San Fidel CDP, New Mexico","","",""
"    San Fidel CDP, New Mexico","49","43","6"
"San Ildefonso Pueblo CDP, New Mexico","","",""
"    San Ildefonso Pueblo CDP, New Mexico","247","221","26"
"San Jon village, New Mexico","","",""
"    San Jon village, New Mexico","100","81","19"
"San Jose CDP (Rio Arriba County), New Mexico","","",""
"    San Jose CDP (Rio Arriba County), New Mexico","295","276","19"
"San Jose CDP (San Miguel County), New Mexico","","",""
"    San Jose CDP (San Miguel County), New Mexico","40","34","6"
"San Lorenzo CDP, New Mexico","","",""
"    San Lorenzo CDP, New Mexico","83","61","22"
"San Luis CDP, New Mexico","","",""
"    San Luis CDP, New Mexico","36","10","26"
"San Mateo CDP, New Mexico","","",""
"    San Mateo CDP, New Mexico","80","64","16"
"San Miguel CDP, New Mexico","","",""
"    San Miguel CDP, New Mexico","403","350","53"
"Sanostee CDP, New Mexico","","",""
"    Sanostee CDP, New Mexico","130","111","19"
"San Pablo CDP, New Mexico","","",""
"    San Pablo CDP, New Mexico","342","330","12"
"San Pedro CDP, New Mexico","","",""
"    San Pedro CDP, New Mexico","153","90","63"
"San Rafael CDP, New Mexico","","",""
"    San Rafael CDP, New Mexico","545","467","78"
"Santa Ana Pueblo CDP, New Mexico","","",""
"    Santa Ana Pueblo CDP, New Mexico","209","191","18"
"Santa Clara village, New Mexico","","",""
"    Santa Clara village, New Mexico","750","634","116"
"Santa Clara Pueblo CDP, New Mexico","","",""
"    Santa Clara Pueblo CDP, New Mexico","394","377","17"
"Santa Cruz CDP, New Mexico","","",""
"    Santa Cruz CDP, New Mexico","190","178","12"
"Santa Fe city, New Mexico","","",""
"    Santa Fe city, New Mexico","44,691","39,683","5,008"
"Santa Fe Foothills CDP, New Mexico","","",""
"    Santa Fe Foothills CDP, New Mexico","629","505","124"
"Santa Rosa city, New Mexico","","",""
"    Santa Rosa city, New Mexico","1,230","980","250"
"Santa Teresa CDP, New Mexico","","",""
"    Santa Teresa CDP, New Mexico","1,866","1,780","86"
"Santo Domingo Pueblo CDP, New Mexico","","",""
"    Santo Domingo Pueblo CDP, New Mexico","494","479","15"
"undefined","","",""
"    San Ysidro CDP, New Mexico","848","805","43"
"San Ysidro village, New Mexico","","",""
"    San Ysidro village, New Mexico","87","72","15"
"Sausal CDP, New Mexico","","",""
"    Sausal CDP, New Mexico","356","324","32"
"Seama CDP, New Mexico","","",""
"    Seama CDP, New Mexico","162","144","18"
"Seboyeta CDP, New Mexico","","",""
"    Seboyeta CDP, New Mexico","82","70","12"
"Sedillo CDP, New Mexico","","",""
"    Sedillo CDP, New Mexico","327","298","29"
"Sena CDP, New Mexico","","",""
"    Sena CDP, New Mexico","83","55","28"
"Seton Village CDP, New Mexico","","",""
"    Seton Village CDP, New Mexico","35","33","2"
"Sheep Springs CDP, New Mexico","","",""
"    Sheep Springs CDP, New Mexico","89","75","14"
"Shiprock CDP, New Mexico","","",""
"    Shiprock CDP, New Mexico","2,438","2,280","158"
"Silver City town, New Mexico","","",""
"    Silver City town, New Mexico","4,954","4,293","661"
"Skyline-Ganipa CDP, New Mexico","","",""
"    Skyline-Ganipa CDP, New Mexico","436","422","14"
"Socorro city, New Mexico","","",""
"    Socorro city, New Mexico","4,060","3,497","563"
"Soham CDP, New Mexico","","",""
"    Soham CDP, New Mexico","69","59","10"
"Sombrillo CDP, New Mexico","","",""
"    Sombrillo CDP, New Mexico","194","151","43"
"South Acomita Village CDP, New Mexico","","",""
"    South Acomita Village CDP, New Mexico","41","37","4"
"South River CDP, New Mexico","","",""
"    South River CDP, New Mexico","847","768","79"
"South Valley CDP, New Mexico","","",""
"    South Valley CDP, New Mexico","14,721","13,585","1,136"
"Spencerville CDP, New Mexico","","",""
"    Spencerville CDP, New Mexico","525","452","73"
"Springer town, New Mexico","","",""
"    Springer town, New Mexico","552","455","97"
"Stanley CDP, New Mexico","","",""
"    Stanley CDP, New Mexico","56","45","11"
"Stoneridge CDP, New Mexico","","",""
"    Stoneridge CDP, New Mexico","60","3","57"
"Sundance CDP, New Mexico","","",""
"    Sundance CDP, New Mexico","227","208","19"
"Sunland Park city, New Mexico","","",""
"    Sunland Park city, New Mexico","5,415","5,084","331"
"Sunlit Hills CDP, New Mexico","","",""
"    Sunlit Hills CDP, New Mexico","381","349","32"
"Sunshine CDP, New Mexico","","",""
"    Sunshine CDP, New Mexico","250","196","54"
"Tajique CDP, New Mexico","","",""
"    Tajique CDP, New Mexico","59","46","13"
"Talpa CDP, New Mexico","","",""
"    Talpa CDP, New Mexico","495","423","72"
"Tano Road CDP, New Mexico","","",""
"    Tano Road CDP, New Mexico","996","782","214"
"Taos town, New Mexico","","",""
"    Taos town, New Mexico","3,812","3,165","647"
"Taos Pueblo CDP, New Mexico","","",""
"    Taos Pueblo CDP, New Mexico","495","434","61"
"Taos Ski Valley village, New Mexico","","",""
"    Taos Ski Valley village, New Mexico","307","37","270"
"Tatum town, New Mexico","","",""
"    Tatum town, New Mexico","319","262","57"
"Tecolote CDP, New Mexico","","",""
"    Tecolote CDP, New Mexico","102","74","28"
"Tecolotito CDP, New Mexico","","",""
"    Tecolotito CDP, New Mexico","93","75","18"
"Tesuque CDP, New Mexico","","",""
"    Tesuque CDP, New Mexico","789","585","204"
"Tesuque Pueblo CDP, New Mexico","","",""
"    Tesuque Pueblo CDP, New Mexico","92","79","13"
"Texico city, New Mexico","","",""
"    Texico city, New Mexico","376","335","41"
"Thoreau CDP, New Mexico","","",""
"    Thoreau CDP, New Mexico","747","698","49"
"Thunder Mountain CDP, New Mexico","","",""
"    Thunder Mountain CDP, New Mexico","499","474","25"
"Tierra Amarilla CDP, New Mexico","","",""
"    Tierra Amarilla CDP, New Mexico","166","113","53"
"Tijeras village, New Mexico","","",""
"    Tijeras village, New Mexico","241","195","46"
"Timberlake CDP, New Mexico","","",""
"    Timberlake CDP, New Mexico","117","68","49"
"Timberon CDP, New Mexico","","",""
"    Timberon CDP, New Mexico","509","184","325"
"Tohatchi CDP, New Mexico","","",""
"    Tohatchi CDP, New Mexico","263","244","19"
"Tome CDP, New Mexico","","",""
"    Tome CDP, New Mexico","721","665","56"
"Torreon CDP (Sandoval County), New Mexico","","",""
"    Torreon CDP (Sandoval County), New Mexico","88","72","16"
"Torreon CDP (Torrance County), New Mexico","","",""
"    Torreon CDP (Torrance County), New Mexico","99","74","25"
"Tortugas CDP, New Mexico","","",""
"    Tortugas CDP, New Mexico","260","228","32"
"Totah Vista CDP, New Mexico","","",""
"    Totah Vista CDP, New Mexico","126","114","12"
"Tres Arroyos CDP, New Mexico","","",""
"    Tres Arroyos CDP, New Mexico","1,173","1,033","140"
"Trout Valley CDP, New Mexico","","",""
"    Trout Valley CDP, New Mexico","25","5","20"
"Truchas CDP, New Mexico","","",""
"    Truchas CDP, New Mexico","290","228","62"
"Truth or Consequences city, New Mexico","","",""
"    Truth or Consequences city, New Mexico","3,985","3,067","918"
"Tse Bonito CDP, New Mexico","","",""
"    Tse Bonito CDP, New Mexico","141","129","12"
"Tucumcari city, New Mexico","","",""
"    Tucumcari city, New Mexico","2,895","2,304","591"
"Tularosa village, New Mexico","","",""
"    Tularosa village, New Mexico","1,335","1,101","234"
"Turley CDP, New Mexico","","",""
"    Turley CDP, New Mexico","115","101","14"
"Twin Forks CDP, New Mexico","","",""
"    Twin Forks CDP, New Mexico","351","106","245"
"Twin Lakes CDP, New Mexico","","",""
"    Twin Lakes CDP, New Mexico","292","290","2"
"Tyrone CDP, New Mexico","","",""
"    Tyrone CDP, New Mexico","318","303","15"
"University Park CDP, New Mexico","","",""
"    University Park CDP, New Mexico","742","269","473"
"Upper Fruitland CDP, New Mexico","","",""
"    Upper Fruitland CDP, New Mexico","504","472","32"
"Ute Park CDP, New Mexico","","",""
"    Ute Park CDP, New Mexico","195","28","167"
"Vadito CDP, New Mexico","","",""
"    Vadito CDP, New Mexico","124","98","26"
"Vado CDP, New Mexico","","",""
"    Vado CDP, New Mexico","935","867","68"
"Valencia CDP (Santa Fe County), New Mexico","","",""
"    Valencia CDP (Santa Fe County), New Mexico","64","51","13"
"Valencia CDP (Valencia County), New Mexico","","",""
"    Valencia CDP (Valencia County), New Mexico","845","800","45"
"Valle Vista CDP, New Mexico","","",""
"    Valle Vista CDP, New Mexico","312","309","3"
"Vanderwagen CDP, New Mexico","","",""
"    Vanderwagen CDP, New Mexico","31","28","3"
"Vaughn town, New Mexico","","",""
"    Vaughn town, New Mexico","170","134","36"
"Veguita CDP, New Mexico","","",""
"    Veguita CDP, New Mexico","91","87","4"
"Velarde CDP, New Mexico","","",""
"    Velarde CDP, New Mexico","257","221","36"
"Ventura CDP, New Mexico","","",""
"    Ventura CDP, New Mexico","254","230","24"
"Villanueva CDP, New Mexico","","",""
"    Villanueva CDP, New Mexico","120","74","46"
"Virden village, New Mexico","","",""
"    Virden village, New Mexico","66","53","13"
"Wagon Mound village, New Mexico","","",""
"    Wagon Mound village, New Mexico","208","130","78"
"Waterflow CDP, New Mexico","","",""
"    Waterflow CDP, New Mexico","549","500","49"
"Watrous CDP, New Mexico","","",""
"    Watrous CDP, New Mexico","53","46","7"
"Weed CDP, New Mexico","","",""
"    Weed CDP, New Mexico","63","26","37"
"West Hammond CDP, New Mexico","","",""
"    West Hammond CDP, New Mexico","1,091","992","99"
"White Cliffs CDP, New Mexico","","",""
"    White Cliffs CDP, New Mexico","122","105","17"
"White Rock CDP, New Mexico","","",""
"    White Rock CDP, New Mexico","2,409","2,322","87"
"White Sands CDP, New Mexico","","",""
"    White Sands CDP, New Mexico","352","287","65"
"Whites City CDP, New Mexico","","",""
"    Whites City CDP, New Mexico","7","7","0"
"White Signal CDP, New Mexico","","",""
"    White Signal CDP, New Mexico","98","96","2"
"Willard village, New Mexico","","",""
"    Willard village, New Mexico","99","81","18"
"Williams Acres CDP, New Mexico","","",""
"    Williams Acres CDP, New Mexico","179","143","36"
"Williamsburg village, New Mexico","","",""
"    Williamsburg village, New Mexico","320","244","76"
"Windmill CDP, New Mexico","","",""
"    Windmill CDP, New Mexico","28","21","7"
"Winston CDP, New Mexico","","",""
"    Winston CDP, New Mexico","45","27","18"
"Yah-ta-hey CDP, New Mexico","","",""
"    Yah-ta-hey CDP, New Mexico","241","219","22"
"Youngsville CDP, New Mexico","","",""
"    Youngsville CDP, New Mexico","24","19","5"
"Zia Pueblo CDP, New Mexico","","",""
"    Zia Pueblo CDP, New Mexico","205","182","23"
"Zuni Pueblo CDP, New Mexico","","",""
"    Zuni Pueblo CDP, New Mexico","1,693","1,618","75"
"Accord CDP, New York","","",""
"    Accord CDP, New York","262","194","68"
"Adams village, New York","","",""
"    Adams village, New York","821","691","130"
"Adams Center CDP, New York","","",""
"    Adams Center CDP, New York","671","612","59"
"Addison village, New York","","",""
"    Addison village, New York","728","661","67"
"Afton village, New York","","",""
"    Afton village, New York","417","354","63"
"Airmont village, New York","","",""
"    Airmont village, New York","2,765","2,638","127"
"Akron village, New York","","",""
"    Akron village, New York","1,451","1,354","97"
"Akwesasne CDP, New York","","",""
"    Akwesasne CDP, New York","1,777","1,647","130"
"Albany city, New York","","",""
"    Albany city, New York","48,031","42,158","5,873"
"Albertson CDP, New York","","",""
"    Albertson CDP, New York","1,857","1,795","62"
"Albion village, New York","","",""
"    Albion village, New York","2,652","2,347","305"
"Alden village, New York","","",""
"    Alden village, New York","1,223","1,158","65"
"Alexander village, New York","","",""
"    Alexander village, New York","194","182","12"
"Alexandria Bay village, New York","","",""
"    Alexandria Bay village, New York","746","532","214"
"Alfred village, New York","","",""
"    Alfred village, New York","609","443","166"
"Allegany village, New York","","",""
"    Allegany village, New York","829","743","86"
"Almond village, New York","","",""
"    Almond village, New York","205","184","21"
"Altamont village, New York","","",""
"    Altamont village, New York","729","698","31"
"Altmar CDP, New York","","",""
"    Altmar CDP, New York","169","128","41"
"Altona CDP, New York","","",""
"    Altona CDP, New York","163","139","24"
"Amagansett CDP, New York","","",""
"    Amagansett CDP, New York","1,776","770","1,006"
"Amenia CDP, New York","","",""
"    Amenia CDP, New York","410","356","54"
"Ames village, New York","","",""
"    Ames village, New York","62","59","3"
"Amityville village, New York","","",""
"    Amityville village, New York","4,015","3,846","169"
"Amsterdam city, New York","","",""
"    Amsterdam city, New York","9,070","7,579","1,491"
"Andes CDP, New York","","",""
"    Andes CDP, New York","179","117","62"
"Andover village, New York","","",""
"    Andover village, New York","437","368","69"
"Angelica village, New York","","",""
"    Angelica village, New York","381","318","63"
"Angola village, New York","","",""
"    Angola village, New York","940","855","85"
"Angola on the Lake CDP, New York","","",""
"    Angola on the Lake CDP, New York","913","710","203"
"Antwerp village, New York","","",""
"    Antwerp village, New York","270","235","35"
"Apalachin CDP, New York","","",""
"    Apalachin CDP, New York","1,120","1,070","50"
"Aquebogue CDP, New York","","",""
"    Aquebogue CDP, New York","1,164","969","195"
"Arcade village, New York","","",""
"    Arcade village, New York","983","904","79"
"Ardsley village, New York","","",""
"    Ardsley village, New York","1,721","1,657","64"
"Argyle village, New York","","",""
"    Argyle village, New York","150","134","16"
"Arkport village, New York","","",""
"    Arkport village, New York","394","374","20"
"Arlington CDP, New York","","",""
"    Arlington CDP, New York","1,372","1,258","114"
"Armonk CDP, New York","","",""
"    Armonk CDP, New York","1,608","1,537","71"
"Asharoken village, New York","","",""
"    Asharoken village, New York","296","231","65"
"Athens village, New York","","",""
"    Athens village, New York","901","722","179"
"Atlantic Beach village, New York","","",""
"    Atlantic Beach village, New York","1,046","763","283"
"Attica village, New York","","",""
"    Attica village, New York","1,237","1,110","127"
"Auburn city, New York","","",""
"    Auburn city, New York","12,948","11,652","1,296"
"Aurora village, New York","","",""
"    Aurora village, New York","192","138","54"
"Au Sable Forks CDP, New York","","",""
"    Au Sable Forks CDP, New York","269","236","33"
"Averill Park CDP, New York","","",""
"    Averill Park CDP, New York","979","910","69"
"Avoca village, New York","","",""
"    Avoca village, New York","382","337","45"
"Avon village, New York","","",""
"    Avon village, New York","1,550","1,477","73"
"Babylon village, New York","","",""
"    Babylon village, New York","4,732","4,544","188"
"Bainbridge village, New York","","",""
"    Bainbridge village, New York","665","584","81"
"Baiting Hollow CDP, New York","","",""
"    Baiting Hollow CDP, New York","1,656","1,081","575"
"Baldwin CDP, New York","","",""
"    Baldwin CDP, New York","11,092","10,702","390"
"Baldwinsville village, New York","","",""
"    Baldwinsville village, New York","3,657","3,436","221"
"Ballston Spa village, New York","","",""
"    Ballston Spa village, New York","2,480","2,317","163"
"Balmville CDP, New York","","",""
"    Balmville CDP, New York","1,283","1,200","83"
"Bard College CDP, New York","","",""
"    Bard College CDP, New York","41","32","9"
"Bardonia CDP, New York","","",""
"    Bardonia CDP, New York","1,494","1,468","26"
"Barker village, New York","","",""
"    Barker village, New York","242","202","40"
"Barneveld CDP, New York","","",""
"    Barneveld CDP, New York","153","142","11"
"Barnum Island CDP, New York","","",""
"    Barnum Island CDP, New York","1,062","1,026","36"
"Barrytown CDP, New York","","",""
"    Barrytown CDP, New York","51","33","18"
"Barryville CDP, New York","","",""
"    Barryville CDP, New York","119","58","61"
"Batavia city, New York","","",""
"    Batavia city, New York","7,450","6,863","587"
"Bath village, New York","","",""
"    Bath village, New York","2,973","2,698","275"
"Baxter Estates village, New York","","",""
"    Baxter Estates village, New York","425","394","31"
"Bay Park CDP, New York","","",""
"    Bay Park CDP, New York","888","845","43"
"Bayport CDP, New York","","",""
"    Bayport CDP, New York","3,506","3,245","261"
"Bay Shore CDP, New York","","",""
"    Bay Shore CDP, New York","10,126","9,667","459"
"Bayville village, New York","","",""
"    Bayville village, New York","2,691","2,518","173"
"Baywood CDP, New York","","",""
"    Baywood CDP, New York","2,266","2,210","56"
"Beacon city, New York","","",""
"    Beacon city, New York","6,262","5,780","482"
"Beaver Dam Lake CDP, New York","","",""
"    Beaver Dam Lake CDP, New York","934","875","59"
"Bedford CDP, New York","","",""
"    Bedford CDP, New York","681","604","77"
"Bedford Hills CDP, New York","","",""
"    Bedford Hills CDP, New York","1,229","1,168","61"
"Belfast CDP, New York","","",""
"    Belfast CDP, New York","372","298","74"
"Bellerose village, New York","","",""
"    Bellerose village, New York","388","384","4"
"Bellerose Terrace CDP, New York","","",""
"    Bellerose Terrace CDP, New York","692","670","22"
"Belle Terre village, New York","","",""
"    Belle Terre village, New York","312","287","25"
"Belleville CDP, New York","","",""
"    Belleville CDP, New York","109","96","13"
"Bellmore CDP, New York","","",""
"    Bellmore CDP, New York","5,776","5,572","204"
"Bellport village, New York","","",""
"    Bellport village, New York","1,170","938","232"
"Belmont village, New York","","",""
"    Belmont village, New York","447","391","56"
"Bemus Point village, New York","","",""
"    Bemus Point village, New York","291","146","145"
"Bergen village, New York","","",""
"    Bergen village, New York","483","472","11"
"Bethpage CDP, New York","","",""
"    Bethpage CDP, New York","6,072","5,810","262"
