city_name,state_id,acquittal
Victorville,CA,16.7
Visalia,CA,13.9
Vista,CA,13.3
Walnut Creek,CA,10
Watsonville,CA,15.6
West Covina,CA,11.4
Westminster,CA,13.8
West Sacramento,CA,13.9
Whittier,CA,11.9
Woodland,CA,13.1
Yorba Linda,CA,10
Yuba City,CA,15.1
Yucaipa,CA,14.7
Arvada,CO,10.1
Aurora,CO,11.6
Boulder,CO,7.8
Broomfield,CO,8.4
Castle Rock,CO,8
Centennial,CO,8.8
Colorado Springs,CO,10.9
Commerce City,CO,12
Denver,CO,10
Fort Collins,CO,8.7
Grand Junction,CO,12.3
Greeley,CO,11.9
Lakewood,CO,10.4
Longmont,CO,10.1
Loveland,CO,10
Parker,CO,7.6
Pueblo,CO,15
Thornton,CO,10.5
Westminster,CO,9.7
Bridgeport,CT,14.3
Bristol,CT,11.8
Danbury,CT,11.5
Hartford,CT,15.1
Meriden,CT,12.4
Milford,CT,10.3
New Britain,CT,13.7
New Haven,CT,13
Norwalk,CT,10.6
Stamford,CT,10
Waterbury,CT,15.8
West Haven,CT,12.3
